"","Bundesland","Zahl.be.stä.tig.ter.Fälle..darunter.Todes.fälle.","davon.elek.tro.nisch.über.mittelt...darunter.Todes.fälle.","Beson.ders.be.trof.fene.Gebiete.in.Deutsch.land"
"1","Baden-Württemberg","569 (2)","506 (2)",""
"2","Bayern","681 (1)","605 (1)",""
"3","Berlin","216","216",""
"4","Brandenburg","61","57",""
"5","Bremen","50","50",""
"6","Hamburg","158","119",""
"7","Hessen","203","141",""
"8","Mecklenburg-Vorpommern","45","23",""
"9","Niedersachsen","253","187",""
"10","Nordrhein-Westfalen","1.154 (5)","1.154 (5)","Landkreis Heinsberg"
"11","Rheinland-Pfalz","121","121",""
"12","Saarland","40","31",""
"13","Sachsen","93","86",""
"14","Sachsen-Anhalt","45","40",""
"15","Schleswig-Holstein","60","54",""
"16","Thüringen","46","31",""
"17","Gesamt","3.795 (8)","3.421 (8)",""
