"","Bundesland","Elektronisch.übermittelte.Fälle","Elektronisch.übermittelte.Fälle.1","Elektronisch.übermittelte.Fälle.2","Elektronisch.übermittelte.Fälle.3","Beson.ders.be.trof.fene.Gebiete.in.Deutsch.land"
"1","","An­zahl","Dif­fe­renz zum Vor­tag","Erkr./ 100.000 Einw.","Todes­fälle",""
"2","Baden-Württemberg","1.479","+417","13,4","2",""
"3","Bayern","1.109","+144","8,5","4",""
"4","Berlin","345","+45","9,2","0",""
"5","Brandenburg","73","+8","2,9","0",""
"6","Bremen","57","+1","8,3","0",""
"7","Hamburg","310","+55","16,8","0",""
"8","Hessen","373","+132","6,0","0",""
"9","Mecklenburg-Vorpommern","45","+9","2,8","0",""
"10","Niedersachsen","325","+53","4,1","0",""
"11","Nordrhein-Westfalen","2.105","+564","11,7","6","Landkreis Heinsberg"
"12","Rheinland-Pfalz","442","+117","10,8","0",""
"13","Saarland","75","+43","7,6","0",""
"14","Sachsen","182","+79","4,5","0",""
"15","Sachsen-Anhalt","58","+18","2,6","0",""
"16","Schleswig-Holstein","127","+23","4,4","0",""
"17","Thüringen","51","+15","2,4","0",""
"18","Gesamt","7.156","+1.723","8,6","12",""
