"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Beson.ders.be.trof.fene.Gebiete.in.Deutsch.land"
"1","","An­zahl","Dif­fe­renz zum Vor­tag","Fälle/ 100.000 Einw.","Todes­fälle",""
"2","Baden-Württem­berg","8.161","+878","74","70",""
"3","Bayern","9.481","+1.488","73","55",""
"4","Berlin","1.955","+299","52","8",""
"5","Brandenburg","537","+60","21","1",""
"6","Bremen","241","+30","35","1",""
"7","Hamburg","1.693","+428*","92","2",""
"8","Hessen","2.323","+166","37","7",""
"9","Mecklenburg-Vor­pommern","259","+15","16","",""
"10","Niedersachsen","2.810","+463","35","10",""
"11","Nordrhein-West­falen","9.235","+1.311","51","72","Landkreis Heinsberg"
"12","Rhein­land-Pfalz","1.971","+155","48","8",""
"13","Saarland","505","+72","51","2",""
"14","Sachsen","1.305","+164","32","7",""
"15","Sachsen-Anhalt","458","+40","21","2",""
"16","Schles­wig-Holstein","812","+137","28","4",""
"17","Thüringen","542","+74","25","4",""
"18","Gesamt","42.288","+5.780","51","253",""
