"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3"
"1","","An­zahl","Dif­fe­renz zum 
Vor­tag","Fälle/ 100.000 Einw.","Todes­fälle"
"2","Baden-Württem­berg","33.359","+169*","301","1.568"
"3","Bayern","44.593","+225","341","2.182"
"4","Berlin","6.274","+2","167","165"
"5","Brandenburg","3.111","+5","124","136"
"6","Bremen","1.058","+3","155","35"
"7","Hamburg","4.960","+180*","269","216"
"8","Hessen","9.031","+19","144","415"
"9","Mecklenburg-
Vor­pommern","729","+1","45","20"
"10","Niedersachsen","10.895","+41","136","507"
"11","Nordrhein-West­falen","35.333","+201","197","1.456"
"12","Rhein­land-Pfalz","6.355","+42","156","206"
"13","Saarland","2.665","0","269","144"
"14","Sachsen","4.947","+32","121","190"
"15","Sachsen-Anhalt","1.648","+5","75","50"
"16","Schles­wig-Holstein","2.956","-1*","102","125"
"17","Thüringen","2.594","+9","121","118"
"18","Gesamt","170.508","+933","205","7.533"
