"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","45.254","+184","1.423","12,9","1.867"
"3","Bayern","61.974","+269","2.328","17,8","2.645"
"4","Berlin","12.269","+15","532","14,2","226"
"5","Branden­burg","4.006","+1","65","2,6","169"
"6","Bremen","2.135","+5","65","9,5","58"
"7","Hamburg","6.825","+11","254","13,8","268"
"8","Hessen","16.877","+69","696","11,1","539"
"9","Meck­lenburg-
Vor­pommern*","1.055","0","24","1,5","20"
"10","Nieder­sachsen","17.911","+67","557","7,0","667"
"11","Nord­rhein-West­falen","62.261","+182","1.738","9,7","1.829"
"12","Rhein­land-Pfalz","9.764","+47","363","8,9","246"
"13","Saarland","3.245","+2","44","4,4","175"
"14","Sachsen","6.403","+38","241","5,9","226"
"15","Sachsen-Anhalt","2.355","+18","67","3,0","66"
"16","Schles­wig-Holstein","4.231","+9","100","3,5","161"
"17","Thüringen","3.790","+10","93","4,3","188"
"18","Gesamt","260.355","+927","8.590","10,3","9.350"
