Datum,Bundesland,Behandlungsgruppe,Anzahl_Meldebereiche,"Aktuelle_COVID_Faelle_ITS",Belegte_Intensivbetten,Freie_Intensivbetten,7_Tage_Notfallreserve,"Freie_IV_Kapazitaeten_Gesamt","Freie_IV_Kapazitaeten_Davon_COVID","Betriebssituation_Regulaerer_Betrieb","Betriebssituation_Teilweise_Eingeschraenkt","Betriebssituation_Eingeschraenkt","Betriebssituation_Keine_Angabe","faelle_covid_erstaufnahmen"
"2020-03-20T12:15:00+01:00",DEUTSCHLAND,ERWACHSENE,308,200,576,2866,0,1842,0,245,42,17,4,NA
"2020-03-20T12:15:00+01:00",DEUTSCHLAND,KINDER,9,0,22,55,0,34,0,6,1,2,0,NA
"2020-03-21T12:15:00+01:00",DEUTSCHLAND,ERWACHSENE,402,308,2828,3554,0,2309,0,319,57,22,4,NA
"2020-03-21T12:15:00+01:00",DEUTSCHLAND,KINDER,15,0,43,73,0,44,0,10,2,3,0,NA
"2020-03-22T12:15:00+01:00",DEUTSCHLAND,ERWACHSENE,426,364,3255,3712,0,2403,0,335,58,26,7,NA
"2020-03-22T12:15:00+01:00",DEUTSCHLAND,KINDER,15,0,45,71,0,42,0,10,2,3,0,NA
"2020-03-23T12:15:00+01:00",DEUTSCHLAND,ERWACHSENE,463,451,3778,4050,0,2570,0,370,59,27,7,NA
"2020-03-23T12:15:00+01:00",DEUTSCHLAND,KINDER,16,0,54,71,0,43,0,10,3,3,0,NA
"2020-03-24T12:15:00+01:00",DEUTSCHLAND,ERWACHSENE,533,616,4856,4712,0,3005,0,416,80,30,7,NA
"2020-03-24T12:15:00+01:00",DEUTSCHLAND,KINDER,19,0,86,85,0,51,0,13,2,4,0,NA
"2020-03-25T12:15:00+01:00",DEUTSCHLAND,ERWACHSENE,581,789,5471,5081,0,3241,0,468,77,28,8,NA
"2020-03-25T12:15:00+01:00",DEUTSCHLAND,KINDER,21,0,125,92,0,53,0,14,2,5,0,NA
"2020-03-26T12:15:00+01:00",DEUTSCHLAND,ERWACHSENE,591,824,5960,5159,0,3318,0,476,80,26,9,NA
"2020-03-26T12:15:00+01:00",DEUTSCHLAND,KINDER,20,0,130,80,0,43,0,14,2,4,0,NA
"2020-03-27T12:15:00+01:00",DEUTSCHLAND,ERWACHSENE,606,905,6274,5389,0,3532,0,489,83,26,8,NA
"2020-03-27T12:15:00+01:00",DEUTSCHLAND,KINDER,22,0,152,90,0,45,0,16,2,4,0,NA
"2020-03-28T12:15:00+01:00",DEUTSCHLAND,ERWACHSENE,616,1001,6738,5411,0,3574,0,490,91,26,9,NA
"2020-03-28T12:15:00+01:00",DEUTSCHLAND,KINDER,21,0,157,86,0,39,0,14,3,4,0,NA
"2020-03-29T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,613,1063,6724,5496,0,3612,0,490,90,24,9,NA
"2020-03-29T12:15:00+02:00",DEUTSCHLAND,KINDER,21,0,150,93,0,48,0,15,1,5,0,NA
"2020-03-30T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,622,1203,7069,5626,0,3701,0,500,90,23,9,NA
"2020-03-30T12:15:00+02:00",DEUTSCHLAND,KINDER,22,0,156,93,0,47,0,17,1,4,0,NA
"2020-03-31T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,701,1550,8392,6227,0,4121,0,556,107,27,11,NA
"2020-03-31T12:15:00+02:00",DEUTSCHLAND,KINDER,22,1,158,110,0,55,0,18,1,3,0,NA
"2020-04-01T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,789,1784,9345,7094,0,4710,0,626,121,32,10,NA
"2020-04-01T12:15:00+02:00",DEUTSCHLAND,KINDER,21,1,125,120,0,55,0,16,1,4,0,NA
"2020-04-02T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,866,2102,10662,8017,0,5337,0,691,130,34,11,NA
"2020-04-02T12:15:00+02:00",DEUTSCHLAND,KINDER,22,1,145,110,0,52,0,17,1,4,0,NA
"2020-04-03T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,938,2361,11708,8429,0,5548,0,744,142,37,15,NA
"2020-04-03T12:15:00+02:00",DEUTSCHLAND,KINDER,27,3,180,137,0,77,0,21,2,4,0,NA
"2020-04-04T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,983,2471,11904,8689,0,5708,0,783,138,42,19,NA
"2020-04-04T12:15:00+02:00",DEUTSCHLAND,KINDER,26,3,195,136,0,75,0,19,2,4,0,NA
"2020-04-05T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,982,2528,11931,8805,0,5816,0,771,139,41,28,NA
"2020-04-05T12:15:00+02:00",DEUTSCHLAND,KINDER,26,3,201,131,0,73,0,18,2,4,0,NA
"2020-04-06T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,978,2551,11985,8809,0,5813,0,751,137,44,43,NA
"2020-04-06T12:15:00+02:00",DEUTSCHLAND,KINDER,26,3,185,141,0,81,0,19,2,5,0,NA
"2020-04-07T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,977,2641,11927,8806,0,5877,0,719,133,55,69,NA
"2020-04-07T12:15:00+02:00",DEUTSCHLAND,KINDER,24,3,165,134,0,77,0,17,2,5,0,NA
"2020-04-08T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,978,2654,12515,8967,0,6007,0,708,115,65,89,NA
"2020-04-08T12:15:00+02:00",DEUTSCHLAND,KINDER,28,7,258,141,0,81,0,20,6,2,0,NA
"2020-04-09T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,977,2714,13118,9007,0,6038,0,702,111,66,98,NA
"2020-04-09T12:15:00+02:00",DEUTSCHLAND,KINDER,27,4,236,136,0,80,0,22,3,2,0,NA
"2020-04-10T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,945,2702,12881,8990,0,5978,0,664,102,74,105,NA
"2020-04-10T12:15:00+02:00",DEUTSCHLAND,KINDER,25,2,234,134,0,74,0,21,3,1,0,NA
"2020-04-11T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,920,2652,12462,9023,0,5988,0,638,102,70,110,NA
"2020-04-11T12:15:00+02:00",DEUTSCHLAND,KINDER,25,5,241,120,0,69,0,21,3,1,0,NA
"2020-04-12T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,937,2652,12541,9168,0,6074,0,656,102,73,106,NA
"2020-04-12T12:15:00+02:00",DEUTSCHLAND,KINDER,25,5,237,119,0,69,0,22,2,1,0,NA
"2020-04-13T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,948,2719,12831,9216,0,6126,0,663,95,77,113,NA
"2020-04-13T12:15:00+02:00",DEUTSCHLAND,KINDER,23,3,235,109,0,62,0,20,2,1,0,NA
"2020-04-14T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,979,2722,13123,9443,0,6302,0,692,95,77,115,NA
"2020-04-14T12:15:00+02:00",DEUTSCHLAND,KINDER,23,3,232,123,0,71,0,20,2,1,0,NA
"2020-04-15T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1040,2735,14119,9919,0,6728,0,751,92,76,121,NA
"2020-04-15T12:15:00+02:00",DEUTSCHLAND,KINDER,25,4,203,140,0,87,0,20,1,1,3,NA
"2020-04-16T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1137,2810,15673,11208,0,7775,0,824,89,83,141,NA
"2020-04-16T12:15:00+02:00",DEUTSCHLAND,KINDER,30,7,234,174,0,103,0,25,1,1,3,NA
"2020-04-17T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1207,2879,16835,11455,0,8032,0,861,113,92,141,NA
"2020-04-17T12:15:00+02:00",DEUTSCHLAND,KINDER,33,4,258,182,0,107,0,25,1,1,6,NA
"2020-04-18T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1251,2928,17311,11605,0,8242,0,878,116,88,169,NA
"2020-04-18T12:15:00+02:00",DEUTSCHLAND,KINDER,36,5,257,203,0,123,0,27,2,1,6,NA
"2020-04-19T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1254,2870,16930,12031,0,8456,0,897,108,88,161,NA
"2020-04-19T12:15:00+02:00",DEUTSCHLAND,KINDER,36,5,255,204,0,127,0,26,1,1,8,NA
"2020-04-20T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1270,2900,17244,11992,0,8434,0,914,114,92,150,NA
"2020-04-20T12:15:00+02:00",DEUTSCHLAND,KINDER,39,5,255,216,0,133,0,29,3,0,7,NA
"2020-04-21T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1284,2855,18163,11870,0,8479,0,917,113,97,157,NA
"2020-04-21T12:15:00+02:00",DEUTSCHLAND,KINDER,40,5,275,208,0,126,0,31,3,1,5,NA
"2020-04-22T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1291,2739,18540,11900,0,8522,0,926,112,96,157,NA
"2020-04-22T12:15:00+02:00",DEUTSCHLAND,KINDER,43,5,294,201,0,128,0,32,5,1,5,NA
"2020-04-23T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1306,2720,18701,11942,0,8531,0,937,104,112,153,NA
"2020-04-23T12:15:00+02:00",DEUTSCHLAND,KINDER,48,8,331,234,0,147,0,35,4,2,7,NA
"2020-04-24T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1310,2644,18879,12009,0,8628,0,925,113,110,162,NA
"2020-04-24T12:15:00+02:00",DEUTSCHLAND,KINDER,49,6,358,261,0,167,0,36,4,3,6,NA
"2020-04-25T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1310,2538,18738,12017,0,8574,0,933,111,108,158,NA
"2020-04-25T12:15:00+02:00",DEUTSCHLAND,KINDER,51,5,362,273,0,172,0,39,3,3,6,NA
"2020-04-26T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1310,2524,18254,12420,0,8902,0,934,111,107,158,NA
"2020-04-26T12:15:00+02:00",DEUTSCHLAND,KINDER,51,5,363,274,0,170,0,41,4,2,4,NA
"2020-04-27T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1311,2466,18436,12259,0,8810,0,942,106,106,157,NA
"2020-04-27T12:15:00+02:00",DEUTSCHLAND,KINDER,52,5,367,278,0,178,0,39,4,2,7,NA
"2020-04-28T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1315,2391,18948,11931,0,8684,0,948,111,105,151,NA
"2020-04-28T12:15:00+02:00",DEUTSCHLAND,KINDER,56,3,397,276,0,184,0,42,3,4,7,NA
"2020-04-29T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1320,2310,19179,11886,0,8682,0,949,114,98,159,NA
"2020-04-29T12:15:00+02:00",DEUTSCHLAND,KINDER,58,3,434,258,0,181,0,44,3,4,7,NA
"2020-04-30T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1320,2235,19130,11924,0,8663,0,948,108,104,160,NA
"2020-04-30T12:15:00+02:00",DEUTSCHLAND,KINDER,59,6,440,270,0,188,0,45,4,4,6,NA
"2020-05-01T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1327,2118,19193,11999,0,8713,0,955,113,94,165,NA
"2020-05-01T12:15:00+02:00",DEUTSCHLAND,KINDER,64,6,449,296,0,198,0,49,3,5,7,NA
